STATUS,cEXT,cAGR,cNEU,cCON,cOPN
hmmit  might  finally  be  time  to  get  a  coat ,n,y,y,n,y
feels  pretty  ooky  but  is  going  to  try  to  power  through  and  sing  in  everything  tomorrow  anyway  good  idea  lets  watch ,n,y,y,n,y
every  time  i  log  in  to  something  and  i  see  one  of  those  checkboxes  next  to  the  words  remember  me  i  cant  help  but  think    ever  so  briefly    but  ahhhhh  forrgeet  my  faaate ,n,y,y,n,y
no  more  student  tickets  for  opening  night  at  the  lyric  opera  hmm  how  unmissable  is  tomorrow  going  to  be  im  thinking  i  may  go  anyway ,n,y,y,n,y
wow  major  insomnia  attack  might  be  a  nocturnal  weekend ,n,y,y,n,y
stupid  light  vegetable  and  noodle  soup  you  are  the  worst  soup  have  you  not  heard  of  flavor  i  bet  youve  never  even  heard  of  the  gym ,n,y,y,n,y
hmm  how  far  is  it  reasonable  to  go  to  get  a  hard  to  find  arrangement  that  you  really  want ,n,y,y,n,y
whats  on  your  mind  summer  programmmms ,n,y,y,n,y
glerc  blech  hack  hakk  kkrrr ,n,y,y,n,y
ugg  calling  in  sick  is  a  surprising  amount  of  work ,n,y,y,n,y
its  a  bird  its  a  plane  its  a  birdplane ,n,y,y,n,y
god  i  cant  even  look  at  nfcs  confused  enough  as  it  is ,n,y,y,n,y
oh  my  god  rice  cookers  are  incredible ,n,y,y,n,y
the  eternal  passion  stretches  me  apart    the  eternal  puhsshuun  stroechuuz  muh  apoooooohh  music  by  propname  revisions  brought  to  you  by  the  letter  f ,n,y,y,n,y
propname  and  propname  are  doing  dr  propnames  propname  songs  eeeeeeeeeeeeeeeeeeeeee ,n,y,y,n,y
does  anyone  else  spend  waaay  too  much  time  worrying  about  what  aria  to  start  an  audition  with  or  is  it  an  irrelevant  point  and  im  just  stupid  grrrrrr ,n,y,y,n,y
was  just  blown  away  by  a  schumann  symphonywhat  i  dont  know  what  to  believe  anymore ,n,y,y,n,y
oww  my  backtoday  im  like  70  or  something ,n,y,y,n,y
just  lost  an  hour  to  scramble  when  he  should  have  been  packing  how  are  people  getting  such  high  scores  ahhhh ,n,y,y,n,y
so  happy  dum  duh  duh  da  dadadada  dm  dm  dm  dm ,n,y,y,n,y
haha  the  propname  montage  where  hes  talking  about  how  hes  a  great  leader  and  a  really  nice  person  and  theyre  juxtaposing  it  with  all  these  clips  of  him  being  a  jerk  so  perfect  hes  still  one  of  the  guys  im  rooting  for  though ,n,y,y,n,y
ahhhhhhhhhhhhhhhhhhhhh  go  go  go  go  go ,n,y,y,n,y
is  on  a  serious  hans  hotter  kick  right  nowrecovery  is  uncertain ,n,y,y,n,y
hlo  vbadi  hau  a  ju ,n,y,y,n,y
its  pretty  amazing  how  many  hours  are  required  to  organize  a  presentation  that  is  going  to  last  no  more  than  twenty  minutes  this  would  be  so  much  simpler  if  i  could  just  call  haydn  as  a  witness ,n,y,y,n,y
i  finally  went  grocery  shopping  picked  up  a  small  piece  of  raclette  not  knowing  what  it  was  because  i  wanted  something  to  put  on  crackers  turns  out  it  is  supposed  to  be  melted  over  a  flame  or  special  grill  and  then  immediately  scraped  onto  some  kind  of  bread  whyyyy  did  i  get  such  a  difficult  cheese  will  just  putting  it  right  on  a  pan  or  toasting  it  somehow  work  i  guess  well  see ,n,y,y,n,y
streeterville  wrigleyville  printers  row  what  is  this ,n,y,y,n,y
just  ate  a  ton  of  sugar  woaaahhh  explain  to  me  again  why  im  not  ripped ,n,y,y,n,y
hungry  and  got  no  food  but  it  is  cold  out  so  i  dont  want  to  go  out  to  get  it  instead  i  plan  to  put  safety  dance  on  repeat  yes  yes  i  will  be  fed  by  the  power  of  dance  in  a  strange  medieval  town ,n,y,y,n,y
realized  today  he  had  no  idea  what  was  in  eggnog  and  looked  it  up  secretly  expecting  to  find  that  it  was  made  from  something  horrible  it  is  actually  made  of  far  more  wonderful  ingredients  than  i  ever  could  have  imagined ,n,y,y,n,y
was  a  huge  baby  when  he  had  his  wisdom  teeth  out  a  few  years  ago  just  splayed  out  on  the  couch  whining  constantly  his  sister  however  had  them  out  today  and  treated  it  like  it  was  nothing ,n,y,y,n,y
airplane  time  soon  its  a  vehicle  that  flies  but  thats  not  important  right  now  hahahahahahhahah ,n,y,y,n,y
reading  rainbow  was  cancelled  noooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo ,n,y,y,n,y
time  to  get  my  final  wisdom  tooth  out   ,n,y,y,n,y
why  is  there  rain  everywhere ,n,y,y,n,y
passed  all  three  of  his  entrance  exams  for  theory  and  history  yessss ,n,y,y,n,y
visiting  la  on  tuesday ,n,y,y,n,y
after  the  competition  went  to  the  zoo  the  zoo  talked  to  the  animals  oh  my  god  look  at  you  you  are  tiny  haha  you  are  a  frog  oh  wow  high  five  frog ,n,y,y,n,y
was  perfectly  noctural  today  my  sleep  schedule  is  the  worst  it  has  ever  been  ever  ugggggggggg ,n,y,y,n,y
hooothis  semesteram  i  right  guys  wild ,n,y,y,n,y
wow  propnameive  never  heard  anything  quite  like  that  in  person  my  search  for  similar  sounds  has  led  me  to  propname  so  very  productive  postconcert  internet  session  so  cool ,n,y,y,n,y
i  just  dreamed  the  mob  kidnapped  me  and  was  forcing  me  to  host  a  toothpaste  infomercial  the  draw  for  the  toothpaste  is  that  it  was  used  by  athletes  in  the  olympics  i  kept  getting  all  the  names  and  locations  wrong  because  nobody  told  me  what  they  were  a  burly  guy  in  a  suit  was  getting  pretty  upset  cause  we  were  stopping  so  much  he  was  on  the  roof  for  some  reason  the  set  looked  suspiciously  like  my  backyard  huh ,n,y,y,n,y
cooked  with  shiitake  mushrooms  for  the  first  time  today  theyre  so  smelly ,n,y,y,n,y
oh  my  god  house  d ,n,y,y,n,y
where  the  wild  things  are  looks  soooo  good ,n,y,y,n,y
terroristunderprivilegeds  bombed  three  hoverports  and  i  should  be  scared  or  angry  the  newsfeed  says  but  the  sky  is  so  empty  and  quiet  and  beautiful ,n,y,y,n,y
went  to  class  realized  i  never  printed  out  my  essay  made  a  mad  dash  back  to  print  it  out  and  continued  said  mad  dash  back  to  the  armory  eesh ,n,y,y,n,y
dyed  her  hair   ,n,y,y,n,y
recieved  the  electric  koolaid  acid  test  in  the  mail  today  d ,n,y,y,n,y
is  going  to  go  play  boston  on  the  piano   ,n,y,y,n,y
hasnt  had  power  for  the  past  2  hoursman  im  so  bored ,n,y,y,n,y
poor  farrah  poor  michael   ,n,y,y,n,y
is  wearing  and  listening  to  less  than  jake     ,n,y,y,n,y
is  going  to  warped  tomorrow  d  d  close  one  gah  so  happy   ,n,y,y,n,y
loves  snl  and  is  going  to  marry  bill  hader   ,n,y,y,n,y
got  out  of  the  house  tonight  finally    had  a  grand  time  this  had  better  start  happening  more  often ,n,y,y,n,y
needs  something  witty  to  put  as  her  status ,n,y,y,n,y
woke  up  this  morning  with  both  of  her  arms  asleep  unpleasant ,n,y,y,n,y
so  judge  me  by  my  actions  maybe  some  will  be  scared  enough  to  wake  from  their  walking  dream  state ,n,y,y,n,y
all  the  statues  in  town  came  to  life  but  theyd  been  watching  long  enough  to  know  not  to  move ,n,y,y,n,y
could  listen  to  lax  by  big  d  and  the  kids  table  about  a  hundred  times  in  a  row  hahaa ,n,y,y,n,y
movies   ,n,y,y,n,y
the  glass  passenger   ,n,y,y,n,y
its  postsecret  sunday  everyone ,n,y,y,n,y
has  contacts  finally  its  been  a  long  time  coming  its  quite  nice  to  see ,n,y,y,n,y
to  do  raise  lambs  in  the  alps  and  in  turn  become  a  german  shepherd ,n,y,y,n,y
17  soups  in  a  hot  plate ,n,y,y,n,y
found  long  lost  third  eye  blind  cd ,n,y,y,n,y
likes  pina  coladas  and  getting  caught  in  the  rain ,n,y,y,n,y
perseids  tonightthough  accompanied  with  a  bright  moon    still  excited   ,n,y,y,n,y
quad  day  got  some  fantastic  posters  donated  bloodproductive  day ,n,y,y,n,y
is  very  anxious  for  house  to  start  again  in  september ,n,y,y,n,y
moved  in  yesterday  got  victoria  moved  in  today  and  now  were  justhangin  out  in  our  room  sweet  room  outdoor  concert  and  comedy  tonight  yay ,n,y,y,n,y
is  back  from  the  late  nighter  and  didnt  get  hypnotized    and  very  hungry ,n,y,y,n,y
my  id  card  has  been  found  d ,n,y,y,n,y
moves  out  the  day  after  tomorrow ,n,y,y,n,y
shot  the  moon ,n,y,y,n,y
s  last  day  of  work  is  tomorrow  and  its  gonna  be  a  long  one   ,n,y,y,n,y
hey  everyone  what  a  wicked  gang  are  we  below  by  streetlight  manifesto ,n,y,y,n,y
got  caught  in  the  rain   ,n,y,y,n,y
wants  to  take  a  rorschach  test ,n,y,y,n,y
cuz  lately  im  not  dreamin  so  whats  the  point  in  sleepin  its  just  that  at  night  ive  got  nowhere  to  hide  love  me  some  jacks  mannequin   ,n,y,y,n,y
lost  her  bromley  id  again  probably  wont  be  so  lucky  to  get  it  back  this  time  darn  these  shallow  pockets ,n,y,y,n,y
bought  some  mod  podge  is  going  to  collage  some  things  rather  excited ,n,y,y,n,y
when  you  look  annoyed  all  the  time  people  think  youre  busy ,n,y,y,n,y
is  going  to  the  football  game  at  shiloh  tomorrow    haha  yay ,n,y,y,n,y
misses  writing  as  much  as  i  used  to  needs  a  journal ,n,y,y,n,y
totally  saw  a  guy  with  a  neck  brace  looks  both  ways  before  crossing  the  street  today  hahaa  made  my  day  for  a  bit ,n,y,y,n,y
my  son  got  into  devry  whatd  he  have  to  do  open  the  door ,n,y,y,n,y
its  rainy  and  sun  shiny  and  warm  and  beautiful    butits  stopping  sigh ,n,y,y,n,y
has  nothing  of  interest  to  do ,n,y,y,n,y
theres  nothing  to  writing  all  you  do  is  sit  down  at  a  typewriter  and  open  a  vein ,n,y,y,n,y
bah  this  always  happens  ah  well  thinking  about  making  blueberry  muffins ,n,y,y,n,y
what  do  you  call  someone  who  speaks  more  than  one  language  a  polyglot  what  do  you  call  someone  who  speaks  only  one  language  an  american ,n,y,y,n,y
is  out  of  cinnamon  toast  crunch   ,n,y,y,n,y
needs  a  new  camera   ,n,y,y,n,y
pasta  and  criminal  minds  marathon  and  putting  off  reading ,n,y,y,n,y
warped  tour  was  fantastic   ,n,y,y,n,y
bored  tired  work  tomorrow  and  the  next  two  days  and  then  im  done    and  then  6ish  days  from  then  i  move  in  delightful ,n,y,y,n,y
lost  my  bromley  id  already  curse  my  absent  mind ,n,y,y,n,y
robot  chicken ,n,y,y,n,y
and  the  world  might  end  tonight ,n,y,y,n,y
you  know  whats  cool  project  runwayers  making  clothing  out  of  newspaper ,n,y,y,n,y
just  cant  get  down  to  businesscurse  you  homework ,n,y,y,n,y
may  as  well  try  and  catch  the  wind  dee  dee  dee  dee  dee ,n,y,y,n,y
snl  tonight   ,n,y,y,n,y
sick   ,n,y,y,n,y
is  tired  and  irritated  almost  time  for  green  tea  and  robot  chicken  hope  i  get  my  stupid  bromley  id  tomorrow ,n,y,y,n,y
drew  a  blankand  put  it  in  a  frame ,n,y,y,n,y
uh  didnt  ask  about  your  hair  propname  you  asked  with  your  eyes  propname  you  asked  with  your  eyes ,n,y,y,n,y
jimmy  fallon  does  one  heck  of  a  seinfeld  impersonation ,n,y,y,n,y
i  love  when  people  misinterpret  brutally  depressing  songs  like  born  in  the  usa  or  happy  birthday ,n,y,y,n,y
has  played  more  freecell  today  than  any  man  should ,n,y,y,n,y
propnames  on  leno   ,n,y,y,n,y
2  more  classes  a  quiz  to  fail  a  longawaited  nap  and  maybe  dinner  if  i  feel  like  getting  up ,n,y,y,n,y
feels  absolutely  great  d ,n,y,y,n,y
back  from  the  doctor  with  many  many  meds ,n,y,y,n,y
is  still  practically  deaf  in  my  right  ear  after  two  weeks  getting  old  i  say  unpleasant ,n,y,y,n,y
off  off  off  with  your  headdance  dance  dance  til  youre  dead ,n,y,y,n,y
still  i  wouldnt  mind  punching  something ,n,y,y,n,y
you  and  i  were  just  too  shy ,n,y,y,n,y
got  her  books  today  rather  excited  for  intro  to  poetry  read  sylvia  plath  and  edwin  arlington  robinson  on  the  way  home    also  got  glasses  today  not  too  sure  how  i  feel  about  them  didnt  not  wear  them  on  the  way  home ,n,y,y,n,y
house  house  everyone  house ,n,y,y,n,y
zooey  deschanel  and  death  cab  for  cutie  front  man  ben  gibbard  got  married  d  how  cuuute ,n,y,y,n,y
paper  done  with  20  minutes  to  spare  poptart  time ,n,y,y,n,y
dakota  fannings  getting  beat  up  on  robot  chicken  heh  hehhexcellent ,n,y,y,n,y
cant  get  enough  glass  passenger ,n,y,y,n,y
its  fumbles  its  always  been  fumbles ,n,y,y,n,y
meh  forgotten  test  in  the  morning ,n,y,y,n,y
is  nancy  drew ,n,y,y,n,y
got  two  pairs  of  cartilage  piercings  today   ,n,y,y,n,y
going  to  play  some  piano ,n,y,y,n,y
be  excellent  to  each  other ,n,y,y,n,y
10  hour  workday  boo ,n,y,y,n,y
has  consumed  so  many  cough  drops  as  of  late  im  making  a  wrapper  bracelet  with  those  too ,n,y,y,n,y
ah  love  at  first  sight  when  you  see  someone  so  beautiful  that  you  forget  they  arent  there  just  for  you ,n,y,y,n,y
found  mad  world  sheet  music   ,n,y,y,n,y
some  man  sold  his  kidney  for  20000sounds  like  a  plan ,n,y,y,n,y
laptop  finally  came  woop  its  purple  its  lovely ,n,y,y,n,y
500  days  of  summer  was  very  very  good  d ,n,y,y,n,y
courage  the  cowardly  dog  is  on ,n,y,y,n,y
one  more  class  drs  appointment  hearing  has  improved  missing  house  because  of  the  midterm  tonight   ,n,y,y,n,y
watchin  benny  and  joon   ,n,y,y,n,y
9am  class  for  tomorrow  is  cancelled  huzzah ,n,y,y,n,y
sent  a  postcard  to  postsecret  yesterday   ,n,y,y,n,y
s  ears  are  sore  haha  worth  it  nothing  on  the  tube  will  continue  to  study  for  tmrs  psych  midterm  momentarily    meh ,n,y,y,n,y
wants  to  be  able  to  put  the  wild  things  commercials  on  her  ipod  to  watch  allthetime   ,n,y,y,n,y
is  watching  robot  chicken  its  aliive ,n,y,y,n,y
and  by  that  i  mean  that  everyone  should  listen  to  viva  discordia  by  that  handsome  devil  now ,n,y,y,n,y
criminal  minds ,n,y,y,n,y
feels  she  did  poorly  on  her  midterm  starts  third  psych  class  tmr  needs  to  create  some  ipod  playlists  is  preoccupied ,n,y,y,n,y
gets  to  sleep  in  tomorrow  kinda  disappointed  that  all  my  classes  are  canceled  except  one    wouldnt  mind  the  whole  day  off ,n,y,y,n,y
has  a  paper  due  tomorrow  will  start  in  a  bit  i  think  wouldve  helped  to  have  read  anything  before  this  point  ah  well ,n,y,y,n,y
is  downloading  wilco  and  watching  third  rock  from  the  sun ,n,y,y,n,y
ive  always  known  id  be  a  bank  robber  so  judge  all  you  want  ladies  and  gentlemen  because  you  never  did  become  an  astronaut ,n,y,y,n,y
crowd  surfed  at  propname  and  propname  d ,n,y,y,n,y
we  bet  him  five  dollars  that  he  would  drown  a  bittersweet  victory ,n,y,y,n,y
overpopulation  will  only  accelerate  until  we  need  walled  cities  to  keep  out  the  hungry  swarming  insane  masses  and  they  will  scrape  and  dig  under  the  walls  like  bug  eyed  mole  men  you  say  catastrophe  i  say  fuck  yes ,n,y,y,n,y
jai  guru  deva  om  nothings  gonna  change  my  world ,n,y,y,n,y
err520 ,n,y,y,n,y
is  rocking  the  casbah ,n,y,y,n,y
house ,n,y,y,n,y
is  updating  her  facebook  status ,n,y,y,n,y
is  off  to  brunch ,n,y,y,n,y
needs  another  project  needs  more  chain ,n,y,y,n,y
loves  you  yeah  yeah  yeah ,n,y,y,n,y
curse  this  internet  andor  computer  whichever  one  is  currently  sucking  and  screwing  up  facebook  screwing  up  everything ,n,y,y,n,y
is  looking  into  her  personality  type  has  the  same  as  luke  skywalker  gandhi  and  adam  sandler  among  others  is  pleased ,n,y,y,n,y
sabrina  the  teenage  witch  is  on  i  havent  seen  it  in  years  d  really  takes  me  back ,n,y,y,n,y
you  are  beautiful  sir  but  i  hope  youre  interesting  too  do  you  read  do  you  think  about  what  you  read  i  specifically  told  the  agency  i  wanted  someone  who  thinks  about  what  he  reads ,n,y,y,n,y
might  as  well  be  walkin  on  the  sun ,n,y,y,n,y
the  verdict  falls  like  bachelors  for  badluck  girls ,n,y,y,n,y
and  if  a  tenton  truck  kills  the  both  of  us    to  die  by  your  side  well  the  pleasure  the  privilege  is  mine ,n,y,y,n,y
finished  the  rough  draft  of  my  explication  of  the  mill  propname  is  spectacular ,n,y,y,n,y
it  wasnt  radioactive  the  doctor  said  it  was  a  brown  recluse  spider  fuck  that  i  said  my  spidey  sense  is  tingling  thats  nerve  damage  he  said ,n,y,y,n,y
the  most  interesting  man  in  the  world  doesnt  always  eat  soup  but  when  he  does  he  prefers  cream  of  mushroom ,n,y,y,n,y
hug  a  vegetarian  day ,n,y,y,n,y
i  dont  mean  to  seem  disrespectful  officer  but  god  damn  i  want  like  three  of  you ,n,y,y,n,y
new  snl ,n,y,y,n,y
i  for  one  am  loving  the  wind ,n,y,y,n,y
also  just  got  back  from  seeing  the  chief  dance ,n,y,y,n,y
needs  something  to  do  tomorrowwednesday  afternoon  dont  wana  be  around  for  fire  code  inspections ,n,y,y,n,y
slept  in  like  nobodys  business  today  makin  biscuits ,n,y,y,n,y
is  making  the  coolest  bracelet  ever ,n,y,y,n,y
ive  got  troubled  thoughts  and  the  self  esteem  to  match  what  a  catch  what  a  catch    the  music  video  is  delightful   ,n,y,y,n,y
check  your  time  boy  check  your  time ,n,y,y,n,y
is  propname  yes ,n,y,y,n,y
is  watching  snl  d ,n,y,y,n,y
superfastinternet  is  beautiful ,n,y,y,n,y
every  generation  had  its  sociallyconscious  youth  flappers  beatniks  hippies  punks  today  we  have  hipsters  but  instead  of  contributing  largely  to  a  social  cause  theyre  just  a  bunch  of  pretentious  pricks ,n,y,y,n,y
nap  two  classes  headed  home ,n,y,y,n,y
is  just  a  teenage  dirtbag  baby  yeah  im  just  a  teenage  dirtbag  baby  listen  to  iron  maiden  baby  with  me  ooohoooooo  d ,n,y,y,n,y
truth  and  beauty  are  wonderful  words  but  shrapnel  is  shrapnel  and  at  the  end  of  the  day  i  am  alone  with  the  things  i  have  done ,n,y,y,n,y
ordered  a  real  winter  coat  today  its  been  long  overdue ,n,y,y,n,y
is  anticipating  tonights  criminal  minds ,n,y,y,n,y
sophisticasherwood  anderson ,n,y,y,n,y
is  watching  gossip  girl  this  may  mean  ive  failed  to  acquire  taste ,n,n,n,y,n
mj  died   ,n,n,n,y,n
wants  sleep ,n,n,n,y,n
is  going  to  the  lone  star  ruby  conf  in  august ,n,n,n,y,n
salvador  dalis  distorted  clocks  were  inspired  by  melting  cheese  ill  never  eat  a  grilled  cheese  sandwich  the  same  way  again ,n,n,n,y,n
i  find  it  funny  that  i  keep  clicking  on  unfamiliar  names  and  wondering  when  did  i  friend  this  person  and  until  i  realize  they  got  married ,n,n,n,y,n
thinks  ice  is  the  best  puppy  treat  ever ,n,n,n,y,n
puppy  training  classes  then  uga  football  weee ,n,n,n,y,n
wine    cheese    teebows  tears    fun ,n,n,n,y,n
enjoying  the  latest  imogen  heap  album ,n,n,n,y,n
is  in  atlanta ,n,n,n,y,n
spending  a  night  with  9  ibm  programmers  feels  like  a  chapter  out  of  microserfs ,n,n,n,y,n
will  miss  stadler ,n,n,n,y,n
i  heart  ruby ,n,n,n,y,n
made  spicy  coconut  soup  mmm ,n,n,n,y,n
back  in  austin ,n,n,n,y,n
just  watched  back  to  the  future  for  the  first  time ,n,n,n,y,n
argh  y  does  everything  need  qualifications  n  not  experience   ,n,n,n,n,y
gona  miss  u  lots  bojana   ,n,n,n,n,y
is  eating  a  yummy  watermelon ,n,n,n,n,y
aww  i  dont  feel  2  good  think  i  ate  2  much  s ,n,n,n,n,y
says  y  dont  any1  take  me  4  who  i  am   ,n,n,n,n,y
hehe  need  2  stop  doin  all  the  fb  quizzes   ,n,n,n,n,y
hehe  what  im  listening  to  is  kinda  working  on  my  wall  2  bad  its  a  lil  slow  at  updating  p ,n,n,n,n,y
we  take  life  we  make  life  and  now  we  must  feast  for  the  ones  we  love ,n,n,n,n,y
we  take  life  we  make  life  and  now  we  must  feast  on  the  ones  we  love ,n,n,n,n,y
im  sooooo  happy  its  finally  here  its  been  soooo  long  since  we  last  had  a  storm    booo  all  my  cams  suck  they  dont  work  at  night  wish  i  got  that  2day  now   ,n,n,n,n,y
im  so  fuckin  pissed  off ,n,n,n,n,y
hmm  this  ice  lolly  tastes  of  strawberry  n  apple  flavored  coolant   ,n,n,n,n,y
hey  any1  wana  go2  the  balcony  next  sat ,n,n,n,n,y
 ,n,n,n,n,y
lolz  thx  guys ,n,n,n,n,y
lolz  been  so  long  since  i  logged  on  here  p ,n,n,n,n,y
might  go  n  c  motorhead  live  at  the  end  of  the  month   ,n,n,n,n,y
aww  im  bak  but  i  wana  go  bak  2  reading   ,n,n,n,n,y
cool  weve  got  enough  points  on  bejeweled  2  win  the  laptop  btw  can  i  hav  it  if  we  do  win  p ,n,n,n,n,y
stupid  avg  im  gona  get  rid  of  u  wen  i  upgrade  2  win7 ,n,n,n,n,y
busy  designing  characters  boo  wheres  steve  wen  u  really  need  him   ,n,n,n,n,y
yay  got  my  new  laptop    aww  but  now  im  pretty  skint   ,n,n,n,n,y
who  needs  twitter  when  you  have  facebook ,y,y,n,y,y
new  guitar  hero    freeeeeeeeebiiiiiiiiiird ,y,y,n,y,y
4  publications  in  10  years  yo  i  can  divide  thats  one  every  lets  say  two  two  of  them  shits  was  due  one  was    nahhh  the  other  was  in  the  journal  of  mathematics  thats  a  one  hot  publication  every  ten  year  average  and  thats  so    laaaaaaame ,y,y,n,y,y
bet  awards  tonight  at  8 ,y,y,n,y,y
my  personality  spans  too  numerous  a  gentleman  intelligent  athletic  a  thug  and  im  humorous ,y,y,n,y,y
propname  propname  and  propname  3  great  men  doing  great  things  in  2009 ,y,y,n,y,y
can  obama  will  the  us  to  victory  over  brazil  sunday ,y,y,n,y,y
ok  who  wants  to  go  to  la  with  me  tuesday  for  the  mj  memorial  service ,y,y,n,y,y
after  3  tracks  of  illmatic  in  the  car  today  my  grandma  turns  to  me  and  says  turn  off  this  noise  and  put  on  michael  jackson  priceless ,y,y,n,y,y
lamborghini  murcielago ,y,y,n,y,y
off  to  cornell  for  a  week  of  probability ,y,y,n,y,y
goodbye  propname ,y,y,n,y,y
im  serious  i  have  an  extra  ticket  for  the  mj  funeral  who  wants  to  go ,y,y,n,y,y
take  me  to  a  place  without  no  name ,y,y,n,y,y
does  anyone  know  where  i  can  find  the  firefighters  test  from  the  propname  case  that  is  causing  propname  so  much  consternation ,y,y,n,y,y
forget  fireworks  i  want  to  see  the  propname  funeral ,y,y,n,y,y
im  sort  of  half  expecting  mj  to  come  dancing  out  of  the  hospital  singing  thriller ,y,y,n,y,y
off  to  orlando  for  the  weekend ,y,y,n,y,y
bet  awards  sunday  at  8  i  will  not  forget  this  year ,y,y,n,y,y
loves  hiding  uninteresting  people  on  his  newsfeed ,y,y,n,y,y
im  going  to  university  of  maryland  but  i  spent  the  summer  at  harvard    adweeb ,y,y,n,y,y
flight  delayed  2  hrs    but  orlando  intl  airport  has  free  wireless ,y,y,n,y,y
off  to  see  whats  left  of  the  beach  boys  i  go  white  one  day  a  year ,y,y,n,y,y
get  around  round  round  i  get  around  still  down  with  the  underground  when  i  come  around ,y,y,n,y,y
time  to  swim ,y,y,n,y,y
going  surfing  with  propname ,y,y,n,y,y
why  is  america  like  michael  jackson  both  achieved  their  peaks  with  a  moonwalk  performed  decades  ago    propname ,y,y,n,y,y
today  at  the  gym  i  saw  on  tv  that  michael  jackson  was  dead  i  was  so  shook  up  i  couldnt  keep  working  out  also  i  will  do  anything  to  skip  dumbell  lifts  they  really  suck ,y,y,n,y,y
ready  for  summerfest ,y,y,n,y,y
propname  was  not  as  cool  as  i  thought  he  would  be ,y,y,n,y,y
15 ,y,y,n,y,y
its  all  about  control  and  if  you  can  take  it ,y,y,n,y,y
one  is  apt  to  overestimate  beauty  when  it  is  rare    propname ,y,y,n,y,y
could  only  gaze  on  propname  from  afar  today  at  disney  world ,y,y,n,y,y
off  to  chitown  for  some  information  theory ,y,y,n,y,y
it  is  time  to  return  to  hogwart ,y,y,n,y,y
there  are  too  many  imitation  propnames  on  facebook ,y,y,n,y,y
i  wanna  do  bad  things  to  you ,y,y,n,y,y
only  engineer  to  rewrite  history  without  a  pen  no  rfid  on  my  mac  let  the  story  beginbeginbegin ,y,y,n,y,y
nothins  equivalent  to  a  new  york  state  of  mind ,y,y,n,y,y
back  in  boston  finally ,y,y,n,y,y
propname  wrote  that  pure  democracy  doesnt  work  because  there  is  nothing  to  check  an  obnoxious  individual  then  in  the  margins  he  doodled  a  picture  of  propname  the  plumber ,y,y,n,y,y
i  will  show  you  propnames  birth  certificate  when  you  show  me  propnames  high  school  diploma ,y,y,n,y,y
this  year  for  eid  i  want  to  see  my  muslim  president  on  all  the  morning  talk  shows  at  once ,y,y,n,y,y
just  got  the  new  propname  album ,y,y,n,y,y
ok  change  of  plans  again  and  back  to  gekko ,y,y,n,y,y
an  evening  with  gorden  gecko ,y,y,n,y,y
in  la ,y,y,n,y,y
actually  most  people  on  twitter  are  old  republicans  who  dont  know  how  to  use  facebook  or  who  are  morally  opposed  to  poking  strangers ,y,y,n,y,y
cant  a  man  enjoy  his  nobel  peace  prize  for  a  day  just  for  a  day ,y,y,n,y,y
headache ,y,y,n,y,y
propname ,y,y,n,y,y
change  of  plans  an  evening  with  propname  instead ,y,y,n,y,y
and  now  it  is  time  for  the  yankees  to  break  the  curse  of  bin  laden ,y,y,n,y,y
is  hooked  on  katamari ,y,y,n,y,y
arab  money  ready  to  go ,y,y,n,y,y
and  finally  thanks  to  capitalism  the  curse  of  bin  laden  is  broken  go  yankees  now  lets  rebuild  those  towers  and  get  out  of  afghanistan ,y,y,n,y,y
in  2  years  went  from  propname  to  propname ,y,y,n,y,y
is  going  to  learn  japanese ,y,y,n,y,y
ugggh  why  did  i  eat  those  donuts  never  again ,y,y,n,y,y
will  not  be  compromised  by  some  puny  prodigal  pathetic  pitiful  pusillanimous  putrid  punk  from  bangladesh ,y,y,n,y,y
jayz  in  a  tux  at  the  american  music  awards  priceless ,y,y,n,y,y
happy  eidsgiving ,y,y,n,y,y
i  dont  have  to  explain  anything  to  you  solecistic  amoebas    propname ,y,y,n,y,y
shippin  off  to  vancouver ,y,y,n,y,y
happy  birthday  40th  jayz ,y,y,n,y,y
will  boycott  any  sponsor  pulling  their  tiger  woods  advertising  gillette  gatorade  youve  been  put  on  notice ,y,y,n,y,y
propname  is  going  to  ny  for  her  next  concert  on  nov  22nd ,y,y,n,y,y
propname  makes  me  wanna  be  a  republican ,y,y,n,y,y
rip  propname ,y,y,n,y,y
tomorrow  we  snowboard ,y,y,n,y,y
has  just  finished  watching  the  wire  and  it  was  awesome ,y,y,n,y,y
senator  propname  reminds  me  of  senator  propname  but  considerably  more  treacherous ,y,y,n,y,y
in  kabuuuuuuuuuul  desert  city  bringin  down  empires  theres  nothin  we  can  do  now  were  in  kabuuuuuuuuuuuul  the  streets  will  make  you  feel  so  screwed  no  hope  cuz  were  all  doomed  lets  here  it  for  kabul  kabul  kabuuuuuuul ,y,y,n,y,y
we  got  60 ,y,y,n,y,y
propname  is  coming  back  to  the  wwe ,y,y,n,y,y
propname  is  gorges ,y,y,n,y,y
forgive  me  for  what  i  am  about  to  do  tonight ,y,y,n,y,y
i  need  the  wisdom  of  a  wise  latina ,y,y,n,y,y
hot  97  is  finally  streaming  online  sweet ,y,y,n,y,y
me  im  doin  business  and  no  one  aint  ever  seen  us  if  jayz  payin  propname  im  payin  propname ,y,y,n,y,y
greed  for  lack  of  a  better  word  is  gy ,y,y,n,y,y
